price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_renovated;sqft_living15;sqft_lot15
448000;5;4;3740;24684;2;N;0;Average;9;2760;980;0;2880;26023
570000;2;2;1140;690;2;N;0;Average;8;760;380;0;1480;1171
576000;3;2;1500;13891;1;N;0;Good;7;1500;0;0;2020;13891
305000;3;2;1400;10350;1;N;0;Good;7;1400;0;0;1780;10457
1300000;4;2;2610;21600;1;N;0;Good;8;2610;0;0;2920;20330
239950;3;2;1230;9600;1;N;0;Good;7;1230;0;0;1330;8250
8e+05;6;4;5480;189050;2;N;0;Good;10;5140;340;0;2470;10429
827500;3;2;1810;7200;1;N;0;Very Good;7;1310;500;0;2050;7200
350000;3;2;1410;1340;2;N;0;Average;8;1370;40;0;1730;2748
975000;6;3;3420;22421;1;N;0;Very Good;9;2270;1150;0;2430;15560
532170;3;2;1360;3090;2;N;0;Average;8;1360;0;0;1500;3090
435000;3;2;1778;147823;2;N;0;Average;7;1778;0;0;2840;43676
258500;3;2;1460;7930;1;N;0;Average;7;1460;0;0;1630;7930
485000;3;2;1870;7853;1;N;0;Average;7;1300;570;0;1870;8300
250000;4;2;1510;5500;1.5;N;0;Average;7;1510;0;0;1320;6431
1388000;4;3;4040;20001;1;N;0;Average;9;2020;2020;2001;2990;20098
265000;3;2;1780;10196;1;N;0;Good;7;1270;510;0;1320;7875
215000;3;2;1290;9312;1;N;0;Average;7;1290;0;0;1650;7300
512500;3;2;1840;2875;2;N;0;Good;7;1840;0;0;1240;5750
851000;3;3;2660;10350;1;N;4;Good;8;1330;1330;0;2820;10043
626000;3;2;1750;1572;2.5;N;0;Average;9;1470;280;0;2410;3050
590000;4;2;2340;8971;2;N;0;Average;9;2340;0;0;2510;9219
320000;3;1;1190;4120;1;N;0;Average;6;1190;0;0;1360;4635
375000;3;3;1370;1227;3;N;0;Average;8;1370;0;0;1370;1236
350000;4;2;2140;4959;1;N;0;Average;7;1080;1060;0;1590;5250
286000;4;2;2190;8400;2;N;0;Fair;8;2190;0;0;2410;7700
3e+05;3;2;1810;21138;1;N;0;Good;7;1240;570;0;1850;12200
421200;3;2;1440;3060;2;N;0;Average;7;1440;0;0;1650;3060
268000;3;3;1880;1793;2;N;0;Average;7;1810;70;0;1800;2537
525000;3;2;1710;7350;1;N;0;Average;8;1280;430;0;2100;7560
400950;4;2;2578;4554;2;N;0;Average;9;2578;0;0;2647;4554
653450;3;2;2070;49658;1;N;0;Good;8;1540;530;0;2620;35160
170500;3;1;1640;13939;1;N;0;Average;7;1040;600;0;2080;13000
205000;3;2;1870;3118;2;N;0;Average;8;1870;0;0;1580;3601
248500;3;2;2090;12026;1;N;0;Good;7;2090;0;0;1700;9496
267000;3;2;1090;8160;1;N;0;Average;7;1090;0;2014;1260;7560
639500;4;2;2330;8994;2;N;0;Average;8;2330;0;0;2330;8396
326100;2;1;880;7683;1;N;0;Average;6;880;0;0;1370;7695
1050000;4;2;3030;12590;1.5;N;0;Good;10;3030;0;0;2980;11635
319000;3;2;1640;53400;1;N;0;Good;7;1640;0;0;1850;380279
415000;3;2;2000;8400;1.5;N;0;Good;8;2000;0;0;2000;8400
249000;3;2;1180;11579;1;N;0;Good;7;1180;0;0;1780;22486
460000;3;2;1650;7313;1;N;0;Average;7;1220;430;0;1690;7252
235000;3;1;1250;15603;1;N;0;Good;7;1250;0;0;1720;10220
527000;4;2;2900;6736;2;N;0;Average;8;2900;0;0;2900;6736
1250000;4;2;2960;20240;2;N;4;Good;10;2960;0;0;2500;14960
1049990;5;3;4240;9588;2;N;0;Average;9;4240;0;0;4080;8425
564000;4;1;1170;4590;1.5;N;0;Good;7;1170;0;0;1430;4080
898000;3;2;3530;9753;2;N;0;Average;10;3530;0;0;3220;9234
269500;2;2;1480;7276;1;N;0;Good;6;940;540;0;1090;6710
1230000;3;2;2200;14630;1.5;N;1;Average;8;2200;0;2003;2850;15803
355000;3;2;1460;7203;1;N;0;Average;7;1460;0;0;1570;7203
180000;3;1;1610;8500;1.5;N;0;Average;7;1610;0;0;1070;8750
375000;2;1;790;5120;1;N;0;Average;6;790;0;0;1250;5120
230000;3;1;1530;389126;1.5;N;0;Good;7;1530;0;0;1768;42148
319990;3;2;1840;7326;1;N;0;Very Good;7;1370;470;0;2050;7475
1475000;5;3;3680;10300;1.5;N;0;Good;10;3680;0;0;2690;7200
245560;2;2;1260;9693;1;N;0;Average;7;1260;0;0;1800;9693
291600;3;2;1630;7480;1;N;0;Average;7;1330;300;0;1940;7480
350000;3;2;2040;13590;2;N;0;Average;8;2040;0;0;1850;12485
365000;4;2;2540;6688;2;N;0;Average;9;2540;0;0;2810;6776
995000;3;2;3200;3800;2;N;0;Very Good;9;2650;550;0;2400;3900
215000;3;1;1190;7500;1;N;0;Very Good;7;1190;0;0;1200;9750
525000;4;2;2660;7957;1;N;0;Good;8;1750;910;0;1890;8250
530000;4;2;3250;4500;2;N;0;Average;8;3250;0;0;3030;4598
1160000;4;4;3560;13959;2;N;0;Good;9;3560;0;0;3320;11834
327000;3;2;1810;7350;1;N;0;Average;8;1310;500;0;2240;7350
333000;2;1;720;6686;1;N;0;Average;6;720;0;0;1200;6686
640000;4;2;2560;7798;1;N;0;Good;7;1890;670;0;1330;7798
302000;3;1;1110;7000;1.5;N;0;Good;7;1110;0;0;1800;7000
5e+05;4;2;2050;7201;2;N;0;Average;8;2050;0;0;1970;7350
650000;3;2;2520;5980;1;N;0;Average;8;1790;730;0;1590;5750
650000;4;2;2850;4497;1.5;N;1;Average;7;1730;1120;0;2450;6000
397500;3;1;1480;5100;1.5;N;0;Average;7;1480;0;1959;1300;5100
590000;4;2;2430;32496;1;N;0;Average;9;2430;0;0;2750;35506
356700;2;1;1090;5000;1;N;0;Good;7;730;360;0;990;5250
764000;3;2;1420;4080;1.5;N;0;Very Good;8;1420;0;0;1220;3060
537250;4;2;2590;9530;1;N;0;Good;8;1640;950;0;2710;10970
835000;4;3;3130;13412;2;N;0;Average;9;2140;990;0;2260;9984
632925;3;2;2990;32239;2;N;0;Good;8;2990;0;0;2990;36497
440000;4;2;1770;5750;2;N;0;Average;7;1770;0;0;970;5750
207000;2;2;1068;1158;2;N;0;Average;7;1068;0;0;1078;1278
680000;4;2;1880;6200;1;N;2;Very Good;8;1440;440;0;2070;6500
574950;5;3;3160;10000;2;N;0;Good;8;3160;0;0;2130;10000
215000;4;2;1540;7575;1;N;0;Good;7;1040;500;0;1720;7575
329000;3;2;1840;6755;1;N;2;Average;8;1840;0;0;1790;6459
736500;3;2;2230;4800;1.5;N;0;Good;7;1290;940;0;1650;5040
569950;4;1;1140;5940;1;N;2;Average;7;1140;0;0;1630;4000
420000;3;2;2390;3903;2;N;0;Average;8;1970;420;0;2390;3431
680000;4;2;2700;37431;1;N;0;Good;8;1600;1100;0;2290;37431
1300000;6;4;3902;3880;3;N;4;Good;9;2782;1120;0;1100;3870
1260000;3;2;3110;9930;1;N;1;Average;8;1640;1470;0;3650;14399
521000;2;1;1050;7500;1.5;N;3;Good;6;1050;0;0;2540;13680
575000;4;2;4620;20793;2;N;0;Good;11;4620;0;0;3640;20793
246500;2;1;940;6000;1;N;0;Fair;7;940;0;0;1890;8547
453000;4;2;2120;7420;1;N;0;Good;7;1060;1060;0;1540;7420
6e+05;3;2;1650;5100;1;N;0;Very Good;7;1040;610;0;1540;5100
402000;2;1;1210;5600;1.5;N;0;Average;7;1210;0;0;1400;5028
286308;2;2;1220;1036;3;N;0;Average;7;1220;0;0;1210;659
310000;3;2;2070;9195;1;N;0;Average;8;1220;850;0;2080;9551
284000;4;2;2000;5390;2;N;0;Average;7;2000;0;0;2330;5390
555000;2;2;1160;954;2;N;0;Average;8;960;200;0;1160;1327
550000;3;2;1520;5618;1;N;0;Average;7;1170;350;0;1550;5618
485000;3;2;1880;5502;2;N;0;Average;8;1880;0;0;2040;5411
637000;4;4;4083;68377;2;N;0;Average;10;4083;0;0;2430;41382
699000;4;2;2440;14470;1;N;0;Good;9;1660;780;0;2810;15564
385000;3;2;1490;9630;1;N;0;Good;8;1490;0;0;1960;10469
635000;4;2;2470;77550;1;N;0;Good;7;2470;0;0;2490;40894
249000;3;2;1360;6082;1;N;0;Average;7;1360;0;0;1360;6987
575000;3;2;1960;9535;2;N;0;Average;8;1960;0;0;2520;9206
650000;3;2;1380;4290;1;N;0;Average;7;1080;300;0;1510;3900
484950;3;2;1590;926;3;N;0;Average;8;1590;0;0;1640;1321
4e+05;4;2;1810;9750;2;N;0;Good;7;1810;0;0;1570;10000
429950;3;2;1430;9750;1;N;0;Very Good;7;1430;0;0;1630;9282
574500;4;2;1430;6380;1.5;N;0;Good;9;1430;0;0;1220;5112
520000;3;2;1480;1165;3;N;0;Average;8;1480;0;0;1480;1231
135000;2;1;780;6685;1;N;0;Good;5;780;0;0;880;6695
760000;4;2;3220;4031;2;N;0;Average;9;3220;0;0;3150;5083
225000;3;2;1310;10491;1;N;0;Good;7;1310;0;0;1430;9664
6e+05;3;2;1460;2800;1;N;0;Good;7;730;730;0;1780;4560
861111;4;2;3650;7090;2;N;0;Average;10;3650;0;0;3860;7272
310000;3;2;1290;6150;1;N;1;Very Good;6;1290;0;0;1960;6150
795000;4;2;2890;7798;2;N;0;Average;9;2890;0;0;3300;30950
835000;3;3;2790;12523;2;Y;4;Good;8;1600;1190;0;2990;11476
585000;3;3;3080;7282;2;N;0;Average;9;3080;0;0;3080;7274
869000;5;3;4180;49222;2;N;0;Good;8;2880;1300;0;3170;8029
511500;4;1;1360;6000;1.5;N;0;Average;7;1360;0;0;1710;6000
229000;3;1;1370;56628;1;N;0;Average;7;1370;0;0;1768;8702
490000;3;2;2840;107157;2;N;0;Good;9;2840;0;0;2600;215622
250000;4;2;2500;6300;1;N;0;Good;7;1500;1000;0;1720;8925
118000;1;1;670;7957;1;N;0;Good;6;670;0;0;1600;7957
245000;3;2;1720;3407;2;N;0;Average;7;1720;0;0;1720;3407
260000;3;1;1480;7469;1.5;N;0;Average;6;1120;360;0;1460;7379
410000;4;2;2070;6180;2;N;0;Average;8;2070;0;0;1250;6018
645000;3;3;1730;1229;2;N;2;Average;9;1320;410;0;1710;1686
561000;3;2;2120;5277;2;N;0;Average;7;2120;0;0;2370;5257
405000;5;2;3370;5092;2;N;0;Average;7;3370;0;0;2910;5092
591500;4;2;1690;4080;1.5;N;0;Good;7;1140;550;0;1600;4590
585000;3;3;3050;12700;2;N;0;Average;8;2240;810;0;3050;12386
415000;3;2;1970;2377;2;N;0;Average;8;1680;290;0;1690;1936
480000;3;2;2270;4488;2;N;0;Average;7;2270;0;0;2360;4427
425000;2;1;1430;13300;1.5;N;0;Average;6;1230;200;0;1950;11421
5110800;5;5;8010;45517;2;Y;4;Average;12;5990;2020;0;3430;26788
550000;4;2;1660;12377;1;N;0;Average;8;1660;0;0;1820;8968
1990000;5;3;4480;5000;2.5;N;0;Very Good;12;3420;1060;0;3220;5600
661000;2;1;1260;5800;1;N;0;Good;7;1260;0;0;1830;5800
588000;4;2;3060;7710;2;N;0;Average;9;3060;0;0;3040;7840
258000;3;2;1390;7200;1;N;0;Average;7;1390;0;0;1630;7340
640000;4;3;2100;11894;1;N;0;Good;8;1720;380;0;2390;9450
507000;3;1;1180;6000;1;N;0;Average;7;1180;0;0;1680;6000
290000;4;2;1660;4788;1;N;0;Average;7;1660;0;0;1150;5000
460000;4;2;2690;36114;2;N;0;Good;9;2690;0;0;2570;35091
808000;4;2;2500;8866;2;N;0;Good;9;2500;0;0;2630;8847
672000;3;2;1130;4445;1.5;N;0;Good;8;1130;0;0;1330;4445
350000;2;3;2820;11770;2;N;0;Average;7;1630;1190;0;1690;12500
586000;4;2;1930;8338;1;N;0;Average;8;1930;0;0;2280;7616
250000;3;2;2030;14400;1;N;0;Good;7;1310;720;0;1330;14400
1225000;4;2;3120;49456;2;Y;4;Good;9;2590;530;1989;2030;32181
469000;4;2;2960;11347;1;N;0;Good;8;1570;1390;0;1660;8911
5e+05;4;3;3720;15048;3;N;0;Average;7;3720;0;2014;2020;15180
515000;2;1;1640;5200;1;N;0;Good;7;1040;600;0;1780;5040
371500;3;1;1650;6400;1;N;0;Good;7;980;670;0;1230;6400
152000;3;1;1090;3264;1;N;0;Good;6;1090;0;0;1090;3330
225000;3;2;1220;8345;1.5;N;0;Average;7;1220;0;0;1880;10169
519000;5;2;2570;13054;1;N;1;Average;8;1470;1100;1992;2570;19807
334000;4;2;1680;7620;1;N;0;Good;7;1180;500;0;1460;7620
459900;3;2;2250;8000;1;N;0;Average;8;1460;790;0;1930;9000
746000;3;2;2370;9619;1;N;0;Good;8;1650;720;0;1960;9712
650000;3;3;1540;1251;2;N;0;Average;8;1230;310;0;1540;1287
165000;3;1;910;8700;1;N;0;Good;6;910;0;0;1090;8700
397000;3;2;1640;11730;1;N;0;Very Good;7;1640;0;0;1640;7770
648000;5;2;2410;12000;2;N;0;Good;8;2410;0;0;2080;12000
680000;4;4;2510;3763;2;N;0;Average;8;1990;520;0;2560;3820
189650;2;2;1100;7600;1;N;0;Average;6;1100;0;0;1230;7350
870000;4;3;2940;7108;2;N;1;Average;9;2220;720;0;2240;7950
9e+05;8;4;4020;7500;1;N;0;Average;8;2010;2010;0;1560;3737
751750;2;2;1880;5400;1.5;N;0;Average;8;1880;0;0;1590;5400
649000;3;3;1720;936;2;N;0;Average;8;1030;690;0;1720;1527
82000;3;1;860;10426;1;N;0;Average;6;860;0;0;1140;11250
515000;3;2;2610;5845;2;N;0;Average;8;2610;0;0;2810;5000
148226;3;1;1400;7360;1;N;0;Good;7;1400;0;0;1600;8030
245000;4;2;2010;7561;1.5;N;0;Good;7;1890;120;0;1420;6564
757500;5;2;3160;8065;2;N;0;Average;8;3160;0;0;2540;7917
249950;2;1;940;8532;1;N;0;Good;7;940;0;0;1050;8100
281500;3;1;1270;7500;1;N;0;Average;7;1270;0;0;1340;3000
560000;4;2;2720;8819;2;N;3;Average;8;2240;480;0;2960;9672
465000;5;2;2330;6450;1;N;1;Average;8;1330;1000;0;2330;8258
235000;3;2;1950;8712;1;N;0;Average;7;1950;0;0;1820;11520
640000;2;2;1760;4400;1;N;0;Good;7;880;880;0;1330;4180
490000;5;3;2990;7200;2;N;0;Average;8;2990;0;0;2710;7620
599000;3;2;1960;4788;1;N;0;Good;7;1090;870;0;1960;3960
375000;4;2;1870;12500;1;N;1;Very Good;6;1030;840;0;2060;14141
225000;3;1;1120;8407;1;N;0;Very Good;6;1120;0;0;1250;8658
405000;4;2;1980;5020;2;N;0;Average;7;1980;0;0;1980;5064
533000;4;2;2590;6394;2;N;0;Average;8;2590;0;0;2500;5328
434500;3;2;1650;7965;1;N;0;Good;7;1650;0;0;1560;7350
480000;5;2;2160;7737;2;N;0;Average;7;2160;0;0;2460;7737
2890000;4;4;5780;7173;2;N;0;Average;11;4130;1650;0;3930;7994
537000;4;2;2640;8800;1;N;0;Average;8;1620;1020;0;2500;11700
491000;5;4;2815;4900;2;N;0;Average;9;2815;0;0;2798;4900
3e+05;4;2;1960;9898;2;N;0;Average;8;1960;0;0;2130;7662
670000;3;2;1220;4080;1.5;N;0;Very Good;7;1220;0;0;1320;4080
355000;4;2;1780;15000;2;N;0;Fair;7;1780;0;0;2005;9680
945000;4;2;2420;9000;1;N;4;Very Good;9;2000;420;0;2400;9035
530000;3;2;1264;1536;2;N;0;Average;8;1264;0;0;1264;2067
272450;3;2;1780;7332;2;N;0;Average;7;1780;0;0;1510;7625
288000;5;3;2790;4807;1.5;N;0;Good;7;2140;650;0;1056;4807
740000;4;2;2800;8540;1;N;0;Good;8;1730;1070;0;2470;9400
287000;3;1;1250;26862;1;N;0;Average;7;1250;0;0;1530;24463
1598000;5;4;4270;7500;2;N;0;Average;10;3210;1060;0;2410;8350
610000;3;2;3440;18167;2;N;0;Average;11;3440;0;0;3990;20239
585000;3;2;2160;1250;3;N;0;Average;8;1830;330;0;1870;2825
545000;3;2;1400;4000;1.5;N;0;Good;7;1400;0;0;1050;4330
738000;3;1;1280;3900;1;N;0;Good;7;1280;0;0;2020;4560
250000;4;2;1220;4900;1;N;0;Average;6;1220;0;0;1410;3000
580500;3;2;2320;3980;2;N;0;Average;8;2320;0;0;2580;3980
580000;3;2;1940;5980;1;N;0;Average;7;1520;420;0;1910;6309
1100000;3;2;2390;6888;2;N;1;Very Good;8;2390;0;0;2390;7920
565000;2;2;1130;276170;1;N;0;Average;8;1130;0;0;2092;217800
305000;4;2;1763;3717;2;N;0;Average;8;1763;0;0;1763;3666
569995;4;2;2650;6875;2;N;0;Average;8;2650;0;0;2650;5831
575000;3;2;2680;8625;1;N;0;Very Good;8;1590;1090;0;2620;14275
548000;4;2;2440;11005;2;N;0;Average;9;2440;0;0;2590;14754
536000;3;2;1990;7397;2;N;0;Average;9;1990;0;0;2210;7397
9e+05;5;4;4130;226076;2;N;0;Average;9;3170;960;0;4130;55321
370000;3;2;2490;18525;2;N;3;Average;8;2490;0;0;1850;9516
395000;3;2;2300;8938;2;N;0;Average;9;2300;0;0;2570;9694
559000;2;2;1660;4500;1;N;0;Average;8;1660;0;0;1670;5580
740000;4;4;3060;4777;2;N;0;Average;9;3060;0;0;3060;4935
299950;3;2;1940;8951;1;N;0;Average;7;1300;640;0;2000;8319
870000;4;2;3240;7621;2;N;2;Average;9;3240;0;0;4610;7150
280000;4;2;1940;6386;1;N;0;Average;7;1140;800;0;1340;6165
567500;4;2;2190;5060;1;N;0;Average;7;1190;1000;0;1510;4600
610000;3;1;1000;4959;1;N;0;Average;8;1000;0;0;2240;4959
650000;4;3;1910;16532;1;N;0;Good;7;1420;490;0;2300;8250
278000;3;1;860;7632;1;N;0;Average;6;860;0;0;890;7632
255000;3;1;1230;10170;1;N;0;Average;7;1230;0;0;1380;10098
294700;3;2;1970;9600;1;N;0;Good;7;1300;670;0;1710;7703
497950;4;2;1950;3000;2;N;0;Average;7;1550;400;0;1540;4300
150000;2;2;1360;1934;2;N;0;Good;7;1360;0;0;1360;1898
349950;4;2;1764;15600;1;N;0;Very Good;7;1764;0;0;1490;22387
389000;2;2;1340;4122;1;N;0;Average;8;1340;0;0;1350;4273
424950;2;2;1000;1188;3;N;0;Average;8;1000;0;0;2300;3500
484259;4;3;2790;5000;2;N;0;Average;8;2790;0;0;2620;5527
482500;2;2;1170;809;2;N;0;Average;9;1170;0;0;1170;1121
1600000;3;2;3160;12824;1;N;2;Good;9;1820;1340;0;3390;11985
350000;4;2;2530;10155;2;N;0;Average;8;2530;0;0;2330;7205
215000;3;1;1180;9000;1;N;0;Good;7;1180;0;0;1290;8316
339000;3;2;2090;10120;1;N;0;Good;7;1290;800;0;1820;7983
622950;4;3;3030;7644;2;N;0;Average;8;2830;200;0;3400;6908
1712750;5;2;2660;6572;1;N;0;Very Good;9;1960;700;0;3960;14595
497000;3;2;1460;1353;2;N;0;Average;8;1050;410;0;1690;3776
406000;3;1;960;5264;1;N;0;Average;7;960;0;0;1140;5150
585000;3;2;2170;153767;1;N;0;Average;7;2170;0;0;2840;49500
445000;4;2;2430;13211;1.5;N;0;Good;7;2430;0;1978;1330;10500
415000;2;2;1130;2191;2;N;0;Average;8;1130;0;0;1140;1710
673000;4;2;2580;2875;2;N;0;Average;9;2580;0;0;1290;5750
252000;3;2;1680;8284;2;N;0;Average;7;1680;0;0;1550;8284
490000;3;2;1490;11360;1;N;0;Average;8;1490;0;0;2350;10320
355000;3;2;1430;4777;2;N;0;Average;7;1430;0;0;1639;3854
303500;4;2;1920;7345;2;N;0;Average;8;1920;0;0;1860;7364
449950;3;2;1540;1270;3;N;0;Average;7;1540;0;0;1230;1454
450000;3;2;1940;8312;1;N;1;Good;7;1220;720;0;2060;9503
221000;3;1;1240;5250;1.5;N;0;Good;6;1240;0;0;1240;5250
930000;4;3;2900;10400;1;N;3;Very Good;8;1530;1370;0;2820;10400
866000;4;3;3990;9786;2;N;0;Average;9;3990;0;0;3920;8200
405000;2;2;1790;5400;2;N;0;Good;8;1790;0;0;1700;5760
302000;4;2;1530;17664;1.5;N;0;Average;7;1530;0;0;1530;11625
240000;3;2;1760;6500;1;N;0;Average;7;1150;610;0;1760;8125
425000;3;2;1560;9452;1;N;0;Good;8;1560;0;0;2200;9985
775000;4;3;4100;241322;2;N;0;Average;9;2500;1600;0;3770;87821
1550000;3;4;5120;4600;3;N;2;Average;11;4490;630;0;2510;5918
225000;3;2;1390;12500;1;N;0;Good;6;1390;0;0;1390;9000
650000;5;2;1910;4667;1;N;0;Average;7;1010;900;0;1230;2545
435000;3;3;1440;1350;3.5;N;2;Average;8;1440;0;0;1440;1350
870000;4;4;2780;3100;2;N;0;Average;8;2120;660;0;1740;3600
